id,index,batch,question_type,question,golden_answers,gold_sf_titles,step50_prediction,step50_candidates,step50_prediction_words,step50_direct_em,step50_direct_f1,step50_processed_em,step50_processed_f1,step75_prediction,step75_candidates,step75_prediction_words,step75_direct_em,step75_direct_f1,step75_processed_em,step75_processed_f1,step100_prediction,step100_candidates,step100_prediction_words,step100_direct_em,step100_direct_f1,step100_processed_em,step100_processed_f1,step50_to_step75_transition,step50_to_step75_f1_delta,step50_to_step75_prediction_changed,step50_to_step100_transition,step50_to_step100_f1_delta,step50_to_step100_prediction_changed,step75_to_step100_transition,step75_to_step100_f1_delta,step75_to_step100_prediction_changed,correctness_pattern_50_75_100
dev_5016,0,1,when/year,"What year did the Jang Hoon directed film, starring Song Kang-ho in the title role and selected as the South Korean entry for the Best Foreign Language Film at the 90th Academy Awards, debut?",2017,Jang Hoon | A Taxi Driver,2016.,2016 | 2016 year | in 2016,1,0.0,0.0,0.0,0.0,2019.,2019,1,0.0,0.0,0.0,0.0,2016.,"2016 | 2016-01-01 | Jan 1, 2016",1,0.0,0.0,0.0,0.0,both_wrong,0.0,1,both_wrong,0.0,0,both_wrong,0.0,1,000
dev_1516,1,1,what,What sport is featured in the film in which Kwon Yu-ri made her film debut ?,swimming,Kwon Yu-ri | No Breathing,Swimming.,,1,1.0,1.0,1.0,1.0,swimming.,,1,1.0,1.0,1.0,1.0,swimming.,,1,1.0,1.0,1.0,1.0,both_correct,0.0,1,both_correct,0.0,1,both_correct,0.0,0,111
dev_3094,2,1,what,What is the character of fictional character Claire Fraser in a British-American television drama series developed by Ronald D. Moore ?,Claire is a married World War II nurse,Claire Fraser (character) | Claire Fraser (character) | Outlander (TV series) | Outlander (TV series),"Claire Fraser is a married World War II nurse who is transported back in time to 1743 Scotland. She is smart, stubborn, and willful, using her wits, practical medical skills, and knowledge to navigate adventure, war, and romance with the Highland warrior Jamie Fraser.","Claire Fraser is a married World War II nurse who is transported back in time to 1743 Scotland | Claire Fraser, a married nurse from World War II, is transported to 1743 Scotland",44,0.0,0.2857142857142857,0.0,0.7000000000000001,"Claire Fraser is a married World War II nurse who is transported back in time to 1743 Scotland. She is smart, stubborn, and willful, using her wits, practical medical skills, and knowledge.","Claire Fraser | a married World War II nurse who is transported back in time to 1743 Scotland | a smart, stubborn, and willful nurse",32,0.0,0.3684210526315789,0.0,0.5714285714285714,"Claire Fraser is a married World War II nurse who is transported back in time to 1743 Scotland. She is characterized as smart, stubborn, and willful, using her wits, practical medical skills, and knowledge to navigate adventure, war, and romance with the dashing Highland warrior Jamie Fraser.",Claire Fraser | Claire,47,0.0,0.2692307692307693,0.0,0.2692307692307693,both_wrong,-0.12857142857142867,1,both_wrong,-0.4307692307692308,1,both_wrong,-0.3021978021978021,1,000
dev_5774,3,1,what,"What nationality is the singer who recorded ""Who I Was Born to Be""?",Scottish,Who I Was Born to Be | Susan Boyle,Scottish.,,1,1.0,1.0,1.0,1.0,Scottish.,,1,1.0,1.0,1.0,1.0,Scottish.,,1,1.0,1.0,1.0,1.0,both_correct,0.0,0,both_correct,0.0,0,both_correct,0.0,0,111
dev_7248,4,1,other,Fighting Cock is produced in what Kentucky county?,Nelson County,"Fighting Cock (bourbon) | Bardstown, Kentucky",Rowan.,Rowan | Rowan County,1,0.0,0.0,0.0,0.5,Rowan County.,Rowan County,2,0.0,0.5,0.0,0.5,Rowan County.,Rowan County,2,0.0,0.5,0.0,0.5,both_wrong,0.0,1,both_wrong,0.0,1,both_wrong,0.0,0,000
dev_6360,5,1,who,"Who performed the Simon & Garfunkel song that was a follow-up single to ""The Boxer"" on Australian Idol? ",Anthony Callea,Rain (Anthony Callea song) | Rain (Anthony Callea song) | Bridge over Troubled Water (song),Kelly Clarkson.,Kelly Clarkson,2,0.0,0.0,0.0,0.0,Kelly Clarkson.,Kelly Clarkson,2,0.0,0.0,0.0,0.0,Paul Simon.,Paul Simon,2,0.0,0.0,0.0,0.0,both_wrong,0.0,0,both_wrong,0.0,1,both_wrong,0.0,1,000
dev_3255,6,1,who,"Who gained recognition earlier, Tim Roth or Polly Draper","Timothy Simon ""Tim"" Roth",Polly Draper | Tim Roth | Tim Roth,Tim Roth.,Tim Roth,2,0.0,0.6666666666666666,0.0,0.6666666666666666,Polly Draper.,Polly Draper,2,0.0,0.0,0.0,0.0,Polly Draper.,Polly Draper,2,0.0,0.0,0.0,0.0,both_wrong,-0.6666666666666666,1,both_wrong,-0.6666666666666666,1,both_wrong,0.0,0,000
dev_3306,7,1,yes/no,Are Cardinal Health and Kansas City Southern located in the same state?,no,Cardinal Health | Kansas City Southern (company),No.,,1,1.0,1.0,1.0,1.0,No.,,1,1.0,1.0,1.0,1.0,No.,,1,1.0,1.0,1.0,1.0,both_correct,0.0,0,both_correct,0.0,0,both_correct,0.0,0,111
dev_2266,8,1,what,What South Korean girl group formed by S.M. Entertainment recorded the Korean language song Lion Heart?,Girls' Generation,Lion Heart (album) | Girls' Generation,Girls' Generation.,,2,1.0,1.0,1.0,1.0,Kara.,Kara,1,0.0,0.0,0.0,0.0,Girls' Generation.,,2,1.0,1.0,1.0,1.0,loss,-1.0,1,both_correct,0.0,0,win,1.0,1,101
dev_6921,9,1,what,What was the budget of the prequel to Beyond Skyline?,$10–20 million,Beyond Skyline | Skyline (2010 film),$35 million.,"$35 million | 35 million dollars | 35,000,000 dollars | 35,000,000",2,0.0,0.5,0.0,0.5,$35 million.,"$35 million | 35 million dollars | 35,000,000 dollars | 35,000,000",2,0.0,0.5,0.0,0.5,$35 million.,"$35 million | 35 million dollars | 35,000,000 dollars | 35,000,000 USD",2,0.0,0.5,0.0,0.5,both_wrong,0.0,0,both_wrong,0.0,0,both_wrong,0.0,0,000
